Category,Product Name,SKU,Quantity,Price/unit (INR),Purchase Link
Electronics,RF Nano Integrated NRF24L01 Wireless Module,1121399,2,1159,https://robu.in/?s=1121399&post_type=product
Electronics,Nano CH340 Chip Board Without USB Cable,16906,2,195,https://robu.in/?s=16906&post_type=product
Electronics,ESP32-CAM WiFi + Bluetooth Module,R262524,1,709,https://robu.in/?s=R262524&post_type=product
Electronics,L298N Dual H Bridge Motor Driver,51971,1,176,https://robu.in/?s=51971&post_type=product
Electronics,HC-SR04 Ultrasonic Range Finder Sensor,2444,1,65,https://robu.in/?s=2444&post_type=product
Power,Pro-Range INR 18650 11.1V 2000mAh 3S1P Li-Ion Battery,1237659,1,899,https://robu.in/?s=1237659&post_type=product
Power,LM2596S DC-DC Buck Converter Power Supply,11548,1,42,https://robu.in/?s=11548&post_type=product
Power,Battery Charger 3S Li-ion 12.6V 5A,1158326,1,1773,https://robu.in/?s=1158326&post_type=product
Hardware,EasyMech Warrior Chassis for Robotics,43327,1,1386,https://robu.in/?s=43327&post_type=product
Hardware,Pro-Range 12V 300 RPM Johnson Geared DC Motor,5728,4,540,https://robu.in/?s=5728&post_type=product
Hardware,85mm Large Robot Smart Car Wheel 38mm Wide,31509,4,209,https://robu.in/?s=31509&post_type=product
Hardware,6mm Hex Motor Coupling 30mm Length,42874,4,81,https://robu.in/?s=42874&post_type=product
Cabling,Male to Male Jumper Wires 40Pcs 20cm,7447,1,46,https://robu.in/?s=7447&post_type=product
Cabling,10 Wire Male to Female Jumper Wires 20cm,R160077,4,14,https://robu.in/?s=R160077&post_type=product
Cabling,22AWG High Quality Ultra Flexible Silicone Wire - Black,1824995,1,18,https://robu.in/?s=1824995&post_type=product
Cabling,22AWG Single Core Teflon Wire - Red,R257340,1,24,https://robu.in/?s=R257340&post_type=product
Cabling,Female to Female DuPont Line 40 Pin 30cm,31321,1,61,https://robu.in/?s=31321&post_type=product
Cabling,Arduino Nano USB A-Mini B 1.2m Cable,17844,1,44,https://robu.in/?s=17844&post_type=product
Cabling,USB TO UART TTL 5V 3.3V FT232RL Adapter,9707,1,89,https://robu.in/?s=9707&post_type=product
Consumables,Nylon Cable Zip Ties 150mm White (Pack of 100),18279,1,78,https://robu.in/?s=18279&post_type=product
Consumables,Nylon Cable Zip Ties 300mm White (Pack of 100),18280,1,109,https://robu.in/?s=18280&post_type=product
Consumables,Heat Shrink sleeve 20mm Black,R150615,1,74,https://robu.in/?s=R150615&post_type=product
Consumables,All Purpose Hot Melt Glue Sticks - 5pcs,6005,1,79,https://robu.in/?s=6005&post_type=product
Consumables,Noel Solder Wire 60/40 1.00mm 50gm,720480,1,299,https://robu.in/?s=720480&post_type=product
Consumables,Noel FLUX soldering paste-10g,762465,1,25,https://robu.in/?s=762465&post_type=product
Prototyping,GL-12 840 Points Solderless Breadboard,24441,1,59,https://robu.in/?s=24441&post_type=product
Tools,Screwdriver Set 52 in 1,972456,1,800,https://robu.in/?s=972456&post_type=product
Tools,Soldron 50W 230V Soldering Iron,143296,1,699,https://robu.in/?s=143296&post_type=product
Tools,TE-801 LED Magnifier PCB Soldering Stand,17940,1,441,https://robu.in/?s=17940&post_type=product
Tools,Multitec 02DX Self Adjusting Wire Cutter - Stripper,617869,1,256,https://robu.in/?s=617869&post_type=product
Tools,HTC DM-830L Digital Pocket Multimeter,775689,1,649,https://robu.in/?s=775689&post_type=product
Tools,Standard Temp 60Watt Hot Melt Glue Gun,5998,1,251,https://robu.in/?s=5998&post_type=product
Tools,Stanley Black+DECKER KR5010V Hammer Drill,R111278,1,2369,https://robu.in/?s=R111278&post_type=product
